,Position
2017-10-04 12:49:45.125599,STATE3
2017-10-04 12:50:43.925600,STATE4a
2017-10-04 12:50:44.525900,STATE4b
2017-10-04 12:50:45.125400,STATE1
2017-10-04 12:51:43.926000,STATE2a
2017-10-04 12:51:44.526000,STATE2b
2017-10-04 12:51:45.125500,STATE3
2017-10-04 12:52:43.926100,STATE4a
2017-10-04 12:52:44.526200,STATE4b
2017-10-04 12:52:45.126200,STATE1
2017-10-04 12:53:43.926000,STATE2a
2017-10-04 12:53:44.525500,STATE2b
2017-10-04 12:53:45.126200,STATE3
2017-10-04 12:54:43.925800,STATE4a
2017-10-04 12:54:44.526200,STATE4b
2017-10-04 12:54:45.126200,STATE1
2017-10-04 12:55:43.925400,STATE2a
2017-10-04 12:55:44.526000,STATE2b
2017-10-04 12:55:45.125599,STATE3
2017-10-04 12:56:43.925400,STATE4a
2017-10-04 12:56:44.525000,STATE4b
2017-10-04 12:56:45.125400,STATE1
2017-10-04 12:57:43.926300,STATE2a
2017-10-04 12:57:44.525700,STATE2b
2017-10-04 12:57:45.124700,STATE3
2017-10-04 12:58:43.925100,STATE4a
2017-10-04 12:58:44.524500,STATE4b
2017-10-04 12:58:45.124400,STATE1
2017-10-04 12:59:43.924100,STATE2a
2017-10-04 12:59:44.524900,STATE2b
2017-10-04 12:59:45.124300,STATE3
2017-10-04 13:00:43.924300,STATE4a
2017-10-04 13:00:44.524200,STATE4b
2017-10-04 13:00:45.123900,STATE1
2017-10-04 13:01:43.923400,STATE2a
2017-10-04 13:01:44.523599,STATE2b
2017-10-04 13:01:45.123500,STATE3
2017-10-04 13:02:43.923500,STATE4a
2017-10-04 13:02:44.524200,STATE4b
2017-10-04 13:02:45.124000,STATE1
2017-10-04 13:03:43.924400,STATE2a
2017-10-04 13:03:44.523499,STATE2b
2017-10-04 13:03:45.123800,STATE3
2017-10-04 13:04:43.923900,STATE4a
2017-10-04 13:04:44.523499,STATE4b
2017-10-04 13:04:45.124200,STATE1
2017-10-04 13:05:43.923800,STATE2a
2017-10-04 13:05:44.523400,STATE2b
2017-10-04 13:05:45.124100,STATE3
2017-10-04 13:06:43.924400,STATE4a
2017-10-04 13:06:44.523800,STATE4b
2017-10-04 13:06:45.123700,STATE1
2017-10-04 13:07:43.923900,STATE2a
2017-10-04 13:07:44.524500,STATE2b
2017-10-04 13:07:45.124200,STATE3
2017-10-04 13:08:43.923500,STATE4a
2017-10-04 13:08:44.523800,STATE4b
2017-10-04 13:08:45.124100,STATE1
2017-10-04 13:09:43.923400,STATE2a
2017-10-04 13:09:44.524000,STATE2b
2017-10-04 13:09:45.123600,STATE3
2017-10-04 13:10:43.923900,STATE4a
2017-10-04 13:10:44.523700,STATE4b
2017-10-04 13:10:45.124000,STATE1
2017-10-04 13:11:43.923800,STATE2a
2017-10-04 13:11:44.523599,STATE2b
2017-10-04 13:11:45.123600,STATE3
2017-10-04 13:12:33.923400,STATE4a
2017-10-04 13:12:34.522900,STATE4b
2017-10-04 13:12:35.124900,STATE1
2017-10-04 13:13:23.924600,STATE2a
2017-10-04 13:13:24.523800,STATE2b
2017-10-04 13:13:25.123800,STATE3
2017-10-04 13:14:13.923500,STATE4a
2017-10-04 13:14:14.523900,STATE4b
2017-10-04 13:14:15.123900,STATE1
2017-10-04 13:15:03.923700,STATE2a
2017-10-04 13:15:04.523700,STATE2b
2017-10-04 13:15:05.123200,STATE3
2017-10-04 13:15:53.923300,STATE4a
2017-10-04 13:15:54.523000,STATE4b
2017-10-04 13:15:55.123600,STATE1
2017-10-04 13:16:43.923100,STATE2a
2017-10-04 13:16:44.522800,STATE2b
2017-10-04 13:16:45.123000,STATE3
2017-10-04 13:17:33.923200,STATE4a
2017-10-04 13:17:34.523499,STATE4b
2017-10-04 13:17:35.122800,STATE1
2017-10-04 13:18:23.922800,STATE2a
2017-10-04 13:18:24.523000,STATE2b
2017-10-04 13:18:25.123400,STATE3
2017-10-04 13:19:13.923300,STATE4a
2017-10-04 13:19:14.523100,STATE4b
2017-10-04 13:19:15.123500,STATE1
2017-10-04 13:20:03.923300,STATE2a
2017-10-04 13:20:04.522900,STATE2b
2017-10-04 13:20:05.123500,STATE3
2017-10-04 13:20:53.923200,STATE4a
2017-10-04 13:20:54.523300,STATE4b
2017-10-04 13:20:55.123000,STATE1
2017-10-04 13:21:43.923200,STATE2a
2017-10-04 13:21:44.522599,STATE2b
2017-10-04 13:21:45.123200,STATE3
2017-10-04 13:22:33.923300,STATE4a
2017-10-04 13:22:34.523499,STATE4b
2017-10-04 13:22:35.123500,STATE1
2017-10-04 13:23:23.923000,STATE2a
2017-10-04 13:23:24.523200,STATE2b
2017-10-04 13:23:25.123500,STATE3
2017-10-04 13:24:13.923200,STATE4a
2017-10-04 13:24:14.523300,STATE4b
2017-10-04 13:24:15.122700,STATE1
2017-10-04 13:25:03.922700,STATE2a
2017-10-04 13:25:04.523100,STATE2b
2017-10-04 13:25:05.123200,STATE3
2017-10-04 13:25:53.923200,STATE4a
2017-10-04 13:25:54.522700,STATE4b
2017-10-04 13:25:55.123100,STATE1
2017-10-04 13:26:43.922800,STATE2a
2017-10-04 13:26:44.522400,STATE2b
2017-10-04 13:26:45.122500,STATE3
2017-10-04 13:27:33.922300,STATE4a
2017-10-04 13:27:34.522599,STATE4b
2017-10-04 13:27:35.122900,STATE1
2017-10-04 13:28:23.922400,STATE2a
2017-10-04 13:28:24.522499,STATE2b
2017-10-04 13:28:25.122400,STATE3
2017-10-04 13:29:13.921900,STATE4a
2017-10-04 13:29:14.521900,STATE4b
2017-10-04 13:29:15.122300,STATE1
2017-10-04 13:30:03.921700,STATE2a
2017-10-04 13:30:04.521599,STATE2b
2017-10-04 13:30:05.121200,STATE3
2017-10-04 13:30:53.921000,STATE4a
2017-10-04 13:30:54.521000,STATE4b
2017-10-04 13:30:55.121100,STATE1
2017-10-04 13:31:43.920600,STATE2a
2017-10-04 13:31:44.521400,STATE2b
2017-10-04 13:31:45.121200,STATE3
2017-10-04 13:32:33.921200,STATE4a
2017-10-04 13:32:34.521100,STATE4b
2017-10-04 13:32:35.120600,STATE1
2017-10-04 13:33:23.920600,STATE2a
2017-10-04 13:33:24.520400,STATE2b
2017-10-04 13:33:25.120400,STATE3
2017-10-04 13:34:13.920200,STATE4a
2017-10-04 13:34:14.519900,STATE4b
2017-10-04 13:34:15.119600,STATE1
2017-10-04 13:35:03.920900,STATE2a
2017-10-04 13:35:04.519200,STATE2b
2017-10-04 13:35:05.119800,STATE3
2017-10-04 13:35:53.919500,STATE4a
2017-10-04 13:35:54.519100,STATE4b
2017-10-04 13:35:55.119700,STATE1
2017-10-04 13:36:43.919500,STATE2a
2017-10-04 13:36:44.519700,STATE2b
2017-10-04 13:36:45.119200,STATE3
2017-10-04 13:37:33.919100,STATE4a
2017-10-04 13:37:34.519100,STATE4b
2017-10-04 13:37:35.118500,STATE1
2017-10-04 13:38:23.918300,STATE2a
2017-10-04 13:38:24.518499,STATE2b
2017-10-04 13:38:25.118800,STATE3
2017-10-04 13:39:13.918400,STATE4a
2017-10-04 13:39:14.518499,STATE4b
2017-10-04 13:39:15.118100,STATE1
2017-10-04 13:40:03.917700,STATE2a
2017-10-04 13:40:04.518300,STATE2b
2017-10-04 13:40:05.118300,STATE3
2017-10-04 13:40:53.917800,STATE4a
2017-10-04 13:40:54.517300,STATE4b
2017-10-04 13:40:55.117200,STATE1
2017-10-04 13:41:43.917000,STATE2a
2017-10-04 13:41:44.517599,STATE2b
2017-10-04 13:41:45.116800,STATE3
2017-10-04 13:42:33.916600,STATE4a
2017-10-04 13:42:34.517200,STATE4b
2017-10-04 13:42:35.116900,STATE1
2017-10-04 13:43:23.916900,STATE2a
2017-10-04 13:43:24.516900,STATE2b
2017-10-04 13:43:25.116300,STATE3
2017-10-04 13:44:13.916100,STATE4a
2017-10-04 13:44:14.515900,STATE4b
2017-10-04 13:44:15.116600,STATE1
2017-10-04 13:45:03.915700,STATE2a
2017-10-04 13:45:04.515599,STATE2b
2017-10-04 13:45:05.116200,STATE3
2017-10-04 13:45:53.915800,STATE4a
2017-10-04 13:45:54.516300,STATE4b
2017-10-04 13:45:55.115500,STATE1
2017-10-04 13:46:43.915900,STATE2a
2017-10-04 13:46:44.515700,STATE2b
2017-10-04 13:46:45.115200,STATE3
2017-10-04 13:47:33.915000,STATE4a
2017-10-04 13:47:34.514900,STATE4b
2017-10-04 13:47:35.115100,STATE1
2017-10-04 13:48:23.914400,STATE2a
2017-10-04 13:48:24.515200,STATE2b
2017-10-04 13:48:25.115000,STATE3
2017-10-04 13:48:58.914800,STATE4a
2017-10-04 13:48:59.514200,STATE4b
2017-10-04 13:49:00.115000,STATE1
2017-10-04 13:49:33.914000,STATE2a
2017-10-04 13:49:34.514700,STATE2b
2017-10-04 13:49:35.114600,STATE3
2017-10-04 13:50:08.914500,STATE4a
2017-10-04 13:50:09.514599,STATE4b
2017-10-04 13:50:10.114300,STATE1
2017-10-04 13:50:43.914000,STATE2a
2017-10-04 13:50:44.513499,STATE2b
2017-10-04 13:50:45.114000,STATE3
2017-10-04 13:51:18.913700,STATE4a
2017-10-04 13:51:19.513700,STATE4b
2017-10-04 13:51:20.114000,STATE1
2017-10-04 13:51:53.913800,STATE2a
2017-10-04 13:51:54.514000,STATE2b
2017-10-04 13:51:55.114000,STATE3
2017-10-04 13:52:28.913700,STATE4a
2017-10-04 13:52:29.513100,STATE4b
2017-10-04 13:52:30.113200,STATE1
2017-10-04 13:53:03.912700,STATE2a
2017-10-04 13:53:04.512599,STATE2b
2017-10-04 13:53:05.113200,STATE3
2017-10-04 13:53:38.913000,STATE4a
2017-10-04 13:53:39.513000,STATE4b
2017-10-04 13:53:40.112600,STATE1
2017-10-04 13:54:13.912400,STATE2a
2017-10-04 13:54:14.512499,STATE2b
2017-10-04 13:54:15.112700,STATE3
2017-10-04 13:54:48.912400,STATE4a
2017-10-04 13:54:49.512200,STATE4b
2017-10-04 13:54:50.112100,STATE1
2017-10-04 13:55:23.912800,STATE2a
2017-10-04 13:55:24.512100,STATE2b
2017-10-04 13:55:25.112000,STATE3
2017-10-04 13:55:58.911800,STATE4a
2017-10-04 13:55:59.512700,STATE4b
2017-10-04 13:56:00.111800,STATE1
2017-10-04 13:56:33.912200,STATE2a
2017-10-04 13:56:34.511499,STATE2b
2017-10-04 13:56:35.112000,STATE3
2017-10-04 13:57:08.911700,STATE4a
2017-10-04 13:57:09.511200,STATE4b
2017-10-04 13:57:10.111400,STATE1
2017-10-04 13:57:43.911000,STATE2a
2017-10-04 13:57:44.511300,STATE2b
2017-10-04 13:57:45.111200,STATE3
2017-10-04 13:58:18.911600,STATE4a
2017-10-04 13:58:19.511100,STATE4b
2017-10-04 13:58:20.111400,STATE1
2017-10-04 13:58:53.910500,STATE2a
2017-10-04 13:58:54.511000,STATE2b
2017-10-04 13:58:55.110600,STATE3
2017-10-04 13:59:28.910900,STATE4a
2017-10-04 13:59:29.510399,STATE4b
2017-10-04 13:59:30.110500,STATE1
2017-10-04 14:00:03.911100,STATE2a
2017-10-04 14:00:04.511800,STATE2b
2017-10-04 14:00:05.110900,STATE3
2017-10-04 14:00:38.910500,STATE4a
2017-10-04 14:00:39.510200,STATE4b
2017-10-04 14:00:40.110700,STATE1
2017-10-04 14:01:13.909800,STATE2a
2017-10-04 14:01:14.510499,STATE2b
2017-10-04 14:01:15.109700,STATE3
2017-10-04 14:01:48.910500,STATE4a
2017-10-04 14:01:49.509499,STATE4b
2017-10-04 14:01:50.109800,STATE1
2017-10-04 14:02:23.909400,STATE2a
2017-10-04 14:02:24.510000,STATE2b
2017-10-04 14:02:25.109600,STATE3
2017-10-04 14:02:58.909500,STATE4a
2017-10-04 14:02:59.509900,STATE4b
2017-10-04 14:03:00.109600,STATE1
