,Position
2017-10-04 15:27:43.911500,STATE2a
2017-10-04 15:27:44.510800,STATE2b
2017-10-04 15:27:45.112100,STATE3
2017-10-04 15:27:58.911500,STATE4a
2017-10-04 15:27:59.511399,STATE4b
2017-10-04 15:28:00.112400,STATE1
2017-10-04 15:28:13.911200,STATE2a
2017-10-04 15:28:14.511399,STATE2b
2017-10-04 15:28:15.111200,STATE3
2017-10-04 15:28:28.910600,STATE4a
2017-10-04 15:28:29.510800,STATE4b
2017-10-04 15:28:30.111100,STATE1
2017-10-04 15:28:43.911100,STATE2a
2017-10-04 15:28:44.510499,STATE2b
2017-10-04 15:28:45.111100,STATE3
2017-10-04 15:28:58.910300,STATE4a
2017-10-04 15:28:59.511100,STATE4b
2017-10-04 15:29:00.110300,STATE1
2017-10-04 15:29:13.910800,STATE2a
2017-10-04 15:29:14.511000,STATE2b
2017-10-04 15:29:15.110900,STATE3
2017-10-04 15:29:28.910200,STATE4a
2017-10-04 15:29:29.510800,STATE4b
2017-10-04 15:29:30.110900,STATE1
2017-10-04 15:29:43.911000,STATE2a
2017-10-04 15:29:44.510600,STATE2b
2017-10-04 15:29:45.110700,STATE3
2017-10-04 15:29:58.910700,STATE4a
2017-10-04 15:29:59.510800,STATE4b
2017-10-04 15:30:00.110600,STATE1
2017-10-04 15:30:13.911200,STATE2a
2017-10-04 15:30:14.511399,STATE2b
2017-10-04 15:30:15.110800,STATE3
2017-10-04 15:30:28.909900,STATE4a
2017-10-04 15:30:29.511100,STATE4b
2017-10-04 15:30:30.111200,STATE1
2017-10-04 15:30:43.910500,STATE2a
2017-10-04 15:30:44.510800,STATE2b
2017-10-04 15:30:45.110300,STATE3
2017-10-04 15:30:58.910500,STATE4a
2017-10-04 15:30:59.510900,STATE4b
2017-10-04 15:31:00.110200,STATE1
2017-10-04 15:31:13.910000,STATE2a
2017-10-04 15:31:14.510000,STATE2b
2017-10-04 15:31:15.110100,STATE3
2017-10-04 15:31:28.910200,STATE4a
2017-10-04 15:31:29.510200,STATE4b
2017-10-04 15:31:30.110200,STATE1
2017-10-04 15:31:43.909600,STATE2a
2017-10-04 15:31:44.510200,STATE2b
2017-10-04 15:31:45.109700,STATE3
2017-10-04 15:31:58.910000,STATE4a
2017-10-04 15:31:59.509499,STATE4b
2017-10-04 15:32:00.112800,STATE1
2017-10-04 15:32:13.913000,STATE2a
2017-10-04 15:32:14.512200,STATE2b
2017-10-04 15:32:15.112800,STATE3
2017-10-04 15:32:28.912700,STATE4a
2017-10-04 15:32:29.512399,STATE4b
2017-10-04 15:32:30.112900,STATE1
2017-10-04 15:32:43.912000,STATE2a
2017-10-04 15:32:44.512700,STATE2b
2017-10-04 15:32:45.112600,STATE3
2017-10-04 15:32:58.912800,STATE4a
2017-10-04 15:32:59.512800,STATE4b
2017-10-04 15:33:00.112600,STATE1
2017-10-04 15:33:13.912600,STATE2a
2017-10-04 15:33:14.512800,STATE2b
2017-10-04 15:33:15.112600,STATE3
2017-10-04 15:33:28.912900,STATE4a
2017-10-04 15:33:29.512700,STATE4b
2017-10-04 15:33:30.115100,STATE1
2017-10-04 15:33:43.914800,STATE2a
2017-10-04 15:33:44.514700,STATE2b
2017-10-04 15:33:45.114600,STATE3
2017-10-04 15:33:58.914800,STATE4a
2017-10-04 15:33:59.514800,STATE4b
2017-10-04 15:34:00.114700,STATE1
2017-10-04 15:34:13.914900,STATE2a
2017-10-04 15:34:14.514499,STATE2b
2017-10-04 15:34:15.114600,STATE3
2017-10-04 15:34:28.914000,STATE4a
2017-10-04 15:34:29.515300,STATE4b
2017-10-04 15:34:30.114600,STATE1
2017-10-04 15:34:43.914700,STATE2a
2017-10-04 15:34:44.514200,STATE2b
2017-10-04 15:34:45.114700,STATE3
2017-10-04 15:34:58.914700,STATE4a
2017-10-04 15:34:59.514599,STATE4b
2017-10-04 15:35:00.115700,STATE1
2017-10-04 15:35:13.915700,STATE2a
2017-10-04 15:35:14.515700,STATE2b
2017-10-04 15:35:15.115100,STATE3
